epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.38,2.74801,4.20253,2.15371,0.00496,0.28692,0.01294,0.00365,2.7165,4.14679,2.19342,0.000299477,0.000299477,0.000299477
2,848.245,2.68701,3.55311,1.9994,0.329,0.07036,0.01616,0.00472,2.80133,3.98693,2.24471,0.000572654,0.000572654,0.000572654
3,1291.54,2.66881,3.42777,2.00837,0.32018,0.06485,0.02948,0.00983,2.76448,3.77593,2.18412,0.000815835,0.000815835,0.000815835
